,id,conversation_id,created_at,username,user_id,tweet
10,1211632081630982145,1211612456289624064,2019-12-30 12:56:13+00:00,anismatta,109543367,"Kita harus siap dengan eskalasi perlombaan senjata, khususnya nuklir, krn pihak yang dulu mengikat perjanjian, kini mengundurkan diri.."
9,1211632844436426752,1211612456289624064,2019-12-30 12:59:15+00:00,anismatta,109543367,"Yg paling serius tentu AS yang menarik diri dari kesepakatan senjata nuklir jarak menengah (Intermediate-Range Nuclear Forces/INF) dengan Rusia, yang melarang pembuatan rudal jarak antara 500 s/d 5.000 km.."
8,1211633614816829441,1211612456289624064,2019-12-30 13:02:19+00:00,anismatta,109543367,"INF adlh perjanjian yang ditandangani Presiden AS Ronald Reagan dan pemimpin Soviet Mikhail Gorbachecv pada 1987.. Selain itu, perkembangan persenjataan membuat dunia makin “panas”.."
7,1211634295967633408,1211612456289624064,2019-12-30 13:05:01+00:00,anismatta,109543367,Rusia telah mengembangkan hypersonic missile system yang dinamai Avangard yang mampu keluar dan masuk kembali ke atmosfer sehingga tak terlacak olh sistem pertahanan anti-rudal.. Peledak nuklir ini mampu “berlari” lebih dari 24.000 km/jam..
6,1211635088619790336,1211612456289624064,2019-12-30 13:08:10+00:00,anismatta,109543367,"Kehadiran Avangarde membuat aircraft carrier atau yang kita kenal “kapal induk” menjd tidak relevan krn kecepatan, daya jelajah, dan manuvernya.."
5,1211635849613344768,1211612456289624064,2019-12-30 13:11:12+00:00,anismatta,109543367,"Bicara kapal induk, China tengah membangun kapal induk terbesar Type 002, setelah sebelumnya sukses membangun Type 001A yang bisa didarati 36 jet tempur.. China telah merintis pembuatan kapal induk sejak 1985.."
4,1211636401835405312,1211612456289624064,2019-12-30 13:13:23+00:00,anismatta,109543367,Kini China memiliki 2 kapal induk aktif dan 1 sedang dalam produksi.. Diperkirakan China memiliki 6 kapal induk pada 2030.. AS kini mengoperasikan 11 kapal induk.. Di seluruh dunia hari ini ada 44 kapal induk milik 13 negara..
3,1211636947803758597,1211612456289624064,2019-12-30 13:15:34+00:00,anismatta,109543367,Belum lagi pengembangan nuklir di Iran dan Korea Utara dan negara2 lain yang meningkatkan ketegangan kawasan dan global..
2,1211637805056544768,1211612456289624064,2019-12-30 13:18:58+00:00,anismatta,109543367,Tiga isu tsb hanyalah highlight dari sejumlah isu2 global yang akan berlanjut pada dasawarsa berikutnya.. Indonesia harus menjdi negara yang kuat agar mampu ikut mempegaruhi arah dunia..
1,1211638647767699456,1211612456289624064,2019-12-30 13:22:19+00:00,anismatta,109543367,"Kita harus mempunya navigasi yang jeli agar tidak terombang-ambing dalam konstelasi global.. Kita juga harus punya neraca kepentingan RI dengan negara atau kawasan yang jelas, sehingga kepentingan nasional kita juga terpenuhi.."
0,1211639133006749698,1211612456289624064,2019-12-30 13:24:15+00:00,anismatta,109543367,Itulah sekilas catatan isu-isu global pada dasawarsa ini.. Nanti kita akan lanjutkan dengan isu-isu nasional.. Gelorakan semangat Indonesia!!
